organism_code,phylum,class,order,family,genus,species,species_name,common_name
4942,Arthropoda,Crustacea,Decapoda,Cancridae,Romaleon,branneri,Romaleon branneri,Furrowed rock crab
4941,Arthropoda,Crustacea,Decapoda,Cancridae,Romaleon,jordani,Romaleon jordani,Hairy rock crab
4890,Arthropoda,Crustacea,Decapoda,Crangonidae,Crangon,franciscorum,Crangon franciscorum,California Bay Shrimp
4892,Arthropoda,Crustacea,Decapoda,Crangonidae,Crangon,nigricauda,Crangon nigricauda,Blacktail Shrimp
4880,Arthropoda,Crustacea,Decapoda,Hippolytidae,Heptacarpus,stimpsoni,Heptacarpus stimpsoni,Broken back Shrimp
4990,Arthropoda,Crustacea,Decapoda,Majidae,Pyromaia,tuberculata,Pyromaia tuberculata,Tuberculate Pear Crab
4935,Arthropoda,Crustacea,Decapoda,Paguridae,Pagurus,samuelis,Pagurus samuelis,Blue-handed Hermit Crab
4860,Arthropoda,Crustacea,Decapoda,Palaemonidae,Exopalaemon,modestus,Exopalaemon modestus,Siberian prawn
4870,Arthropoda,Crustacea,Decapoda,Palaemonidae,Palaemon,macrodactylus,Palaemon macrodactylus,Oriental Shrimp
4949,Arthropoda,Crustacea,Decapoda,Panopeidae,Lophopanopeus,leucomanus,Lophopanopeus leucomanus,Knobknee crestleg crab
4950,Arthropoda,Crustacea,Decapoda,Panopeidae,Rhithropanopeus,harrisii,Rhithropanopeus harrisii,Harris Mud Crab
4980,Arthropoda,Crustacea,Decapoda,Pinnotheridae,Pinnixa,scamit,Pinnixa scamit,Pea crab
4981,Arthropoda,Crustacea,Decapoda,Pinnotheridae,Scleroplax,granulata,Scleroplax granulata,Pea crab
4930,Arthropoda,Crustacea,Decapoda,Upogebiidae,Upogebia,pugettensis,Upogebia pugettensis,Blue Mud Shrimp
4940,Arthropoda,Crustacea,Decapoda,Varunidae,Eriocheir,sinensis,Eriocheir sinensis,Chinese Mitten Crab
4970,Arthropoda,Crustacea,Decapoda,Varunidae,Hemigrapsus,oregonensis,Hemigrapsus oregonensis,Shore Crab
4315,Arthropoda,Crustacea,Isopoda,Anthuridae,Cyathura,sp. A,Cyathura sp. A,Isopod
4320,Arthropoda,Crustacea,Isopoda,Anthuridae,Paranthura,elegans,Paranthura elegans,Isopod
4330,Arthropoda,Crustacea,Isopoda,Asellidae,Asellus,hilgendorfii,Asellus hilgendorfii,Isopod
4335,Arthropoda,Crustacea,Isopoda,Asellidae,Caecidotea,racovitzai,Caecidotea racovitzai,Isopod
4400,Arthropoda,Crustacea,Isopoda,Cirolanidae,Excirolana,linguifrons,Excirolana linguifrons,Isopod
4309,Arthropoda,Crustacea,Isopoda,Idoteidae,Idotea,sp. A,Idotea sp. A,Isopod
4310,Arthropoda,Crustacea,Isopoda,Idoteidae,Synidotea,laticauda,Synidotea laticauda,Isopod
4410,Arthropoda,Crustacea,Isopoda,Munnidae,Uromunna,sp. A,Uromunna sp. A,Isopod
4409,Arthropoda,Crustacea,Isopoda,Munnidae,Uromunna,ubiquita,Uromunna ubiquita,"Isopod, Pill bug"
4350,Arthropoda,Crustacea,Isopoda,Sphaeromatidae,Gnorimosphaeroma,insulare,Gnorimosphaeroma insulare,"Isopod, Pill bug"
4370,Arthropoda,Crustacea,Isopoda,Sphaeromatidae,Gnorimosphaeroma,oregonensis,Gnorimosphaeroma oregonensis,"Isopod, Pill bug"
4390,Arthropoda,Crustacea,Isopoda,Sphaeromatidae,Sphaeroma,quoianum,Sphaeroma quoianum,"Isopod, Pill bug"
4105,Arthropoda,Crustacea,Mysidacea,Mysidae,Alienacanthomysis,macropsis,Alienacanthomysis macropsis,"Mysid, Opossom Shrimp"
4100,Arthropoda,Crustacea,Mysidacea,Mysidae,Hyperacanthomysis,longirostris,Hyperacanthomysis longirostris,"Mysid, Opossom Shrimp"
4109,Arthropoda,Crustacea,Mysidacea,Mysidae,Neomysis,kadiakensis,Neomysis kadiakensis,"Mysid, Opossom Shrimp"
4110,Arthropoda,Crustacea,Mysidacea,Mysidae,Neomysis,mercedis,Neomysis mercedis,"Mysid, Opossom Shrimp"
4101,Arthropoda,Crustacea,Mysidacea,Mysidae,Orientomysis,aspera,Orientomysis aspera,"Mysid, Opossom Shrimp"
4111,Arthropoda,Crustacea,Mysidae,Mysidae,Neomysis,japonica,Neomysis japonica,"Mysid, Opossom Shrimp"
4050,Arthropoda,Crustacea,Podocopida,Candonidae,Candona,sp. A,Candona sp. A,Ostracod
4040,Arthropoda,Crustacea,Podocopida,Cyprididae,Cyclocypris,sp. A,Cyclocypris sp. A,Ostracod
4005,Arthropoda,Crustacea,Podocopida,Cyprididae,Cypricercus,sp. A,Cypricercus sp. A,Ostracod
4010,Arthropoda,Crustacea,Podocopida,Cyprididae,Eucypris,sp. A,Eucypris sp. A,Ostracod
